Experiment_Type,Dataset,Model_Name,Noise_Level,MAPE,RMSE,MAE,R2,Time(s)
Benchmark Comparison,Malaysia,SVR,0,7.696591658846609,4149.020287405932,3025.7714296414147,0.9135947982755208,10.622123956680298
Benchmark Comparison,Malaysia,RandomForest,0,3.672594943765928,2421.091762319525,1675.6244373670104,0.9705780622864404,0.8588376045227051
Benchmark Comparison,Malaysia,XGBoost,0,3.794941364442105,2533.261027191076,1763.0735730447404,0.9677886962890624,0.0687682628631591
Benchmark Comparison,Malaysia,LSTM,0,4.413205515180435,2638.4455706282106,1939.8333626835724,0.965058207511902,6.835463047027588
Benchmark Comparison,Malaysia,Transformer,0,4.235463862656616,2447.262433748298,1785.2408373890028,0.969938576221466,9.480113983154297
Benchmark Comparison,Malaysia,MLP,0,3.7808674879625888,2221.6698506374364,1619.878816865181,0.9752253293991088,9.20153832435608
Benchmark Comparison,Malaysia,KAN,0,4.43239020894637,2654.856365798545,1954.8882623057548,0.96462219953537,8.795238494873047
Benchmark Comparison,Malaysia,ANFIS,0,15.124631950063248,7745.108235712023,6102.494410915132,0.6989048540154943,0.2329561710357666
Benchmark Comparison,Malaysia,CIT-ANFIS,0,3.5949684375127084,2025.311210455796,1541.3142463392248,0.9794111251831056,1.709723949432373
Benchmark Comparison,ISO-NE,SVR,0,2.296346024586428,454.9560630621551,317.69536953796126,0.9501344077642884,8.331945896148682
Benchmark Comparison,ISO-NE,RandomForest,0,1.476459274336706,271.9960416305846,200.09884282328667,0.982176736216464,1.1403284072875977
Benchmark Comparison,ISO-NE,XGBoost,0,1.4623820455694905,263.71895183184085,196.5028456390881,0.983245015144348,0.0647828578948974
Benchmark Comparison,ISO-NE,LSTM,0,1.8918377349314883,324.2472437975924,255.6051799169655,0.974671185016632,6.223397970199585
Benchmark Comparison,ISO-NE,Transformer,0,1.890462005080169,334.40561725861494,255.7261195782104,0.9730592966079712,7.618264675140381
Benchmark Comparison,ISO-NE,MLP,0,2.3127060053195057,370.56956092463537,305.46357702036374,0.9669172763824464,7.2683680057525635
Benchmark Comparison,ISO-NE,KAN,0,1.855223651945353,332.67751167631843,251.7757855191257,0.9733369946479796,6.989012002944946
Benchmark Comparison,ISO-NE,ANFIS,0,5.053527363797141,854.1340114513874,671.6068847260564,0.8242424060653983,0.0697665214538574
Benchmark Comparison,ISO-NE,CIT-ANFIS,0,1.4318102026553368,252.4793544198588,192.3669827153774,0.984642744064331,4.587991237640381
Benchmark Comparison,Belgium,SVR,0,2.843529303261242,352.28925006280195,272.2408404366644,0.931247432592854,30.06801176071167
Benchmark Comparison,Belgium,RandomForest,0,1.5245868940750664,191.95105531177887,143.3520339705322,0.9795886774074566,1.0781285762786863
Benchmark Comparison,Belgium,XGBoost,0,1.4841866832484798,186.1634515094645,139.55370967693526,0.980800983454785,0.0720038414001464
Benchmark Comparison,Belgium,LSTM,0,1.4733186655223067,183.16181219875844,138.21489155391615,0.981415109702334,13.792176961898804
Benchmark Comparison,Belgium,Transformer,0,1.5810434653002396,197.0107222797061,149.1353820261477,0.9784984452276484,11.473044157028198
Benchmark Comparison,Belgium,MLP,0,1.5935226423174,197.86797956891544,150.5220104506819,0.97831091769686,8.29337453842163
Benchmark Comparison,Belgium,KAN,0,1.542163727936109,193.3709518866528,144.52078581954714,0.979285588066175,8.39486837387085
Benchmark Comparison,Belgium,ANFIS,0,4.9755651470822535,526.5066884402206,431.9422667880558,0.8464329917607392,0.074216604232788
Benchmark Comparison,Belgium,CIT-ANFIS,0,1.386478144545068,174.73004285611333,130.30338860809644,0.983086818664306,4.496200084686279
Ablation Study,Belgium,Full-Model,0,1.3505340079521455,161.84939489185106,120.323927434328,0.9833036967875264,25.888109922409058
Ablation Study,Belgium,No-Causal,0,1.3581312499972646,162.4600581267863,120.86249480927576,0.9831774676703658,22.479236841201782
Ablation Study,Belgium,No-LSE,0,1.3552893753545507,162.4655311435702,120.90165657111856,0.983176334203424,27.79274272918701
Ablation Study,ISO-NE,Full-Model,0,1.4527865679773504,256.91219397538373,196.16046109225584,0.984098732471466,4.605123043060303
Ablation Study,ISO-NE,No-Causal,0,1.5633219610546285,275.3911476803897,210.9708131883965,0.9817290306091307,2.310119867324829
Ablation Study,ISO-NE,No-LSE,0,1.6331185585587855,277.7491944538779,216.48680773458847,0.981414794921875,4.031495094299316
Ablation Study,Malaysia,Full-Model,0,3.5995175634672507,2059.4156292006805,1567.4385446016906,0.9787119030952454,3.5201101303100586
Ablation Study,Malaysia,No-Causal,0,3.660925328671686,2074.632896119732,1584.4702828829406,0.9783961176872252,4.691445827484131
Ablation Study,Malaysia,No-LSE,0,5.0647548782083085,2617.954807813384,1975.8494586214997,0.9655988216400146,2.2165493965148926
Robustness Test,Malaysia,Full-Model,5,3.7717280550170154,,,,
Robustness Test,Malaysia,No-Causal,5,3.702454038502047,,,,
Robustness Test,Malaysia,No-LSE,5,4.062679441848066,,,,
Robustness Test,Malaysia,Full-Model,10,3.4923443407274144,,,,
Robustness Test,Malaysia,No-Causal,10,4.8450732918984745,,,,
Robustness Test,Malaysia,No-LSE,10,5.361028926081495,,,,
Robustness Test,Malaysia,Full-Model,20,3.310080520524608,,,,
Robustness Test,Malaysia,No-Causal,20,3.572720829643518,,,,
Robustness Test,Malaysia,No-LSE,20,4.018797949282282,,,,
Robustness Test,ISO-NE,Full-Model,5,1.52482516943984,,,,
